variant,label_set,split,scorer,auprc,precision@20,mcc,chains,residues,positive_rate,threshold,n_features,best_iteration,esm_components
esm32,union,test_group2,protrusion,0.1075,0.0421,-0.0041,234.0,68297.0,0.06,0.8462,68,900,32
esm32,chain,test_B,score,0.1523,0.0947,0.1296,38.0,10987.0,0.0695,0.8462,68,900,32
esm32,chain,test_B,rel_sasa_assembly,0.1461,0.1539,0.1325,38.0,10987.0,0.0695,0.8462,68,900,32
esm32,chain,test_B,protrusion,0.0947,0.0408,-0.0045,38.0,10987.0,0.0695,0.8462,68,900,32
esm32,union,test_B,score,0.1795,0.0974,0.0951,38.0,10987.0,0.1001,0.8462,68,900,32
esm32,union,test_B,rel_sasa_assembly,0.1826,0.1987,0.162,38.0,10987.0,0.1001,0.8462,68,900,32
esm32,union,test_B,protrusion,0.1224,0.0447,-0.0292,38.0,10987.0,0.1001,0.8462,68,900,32
esm64,chain,val,score,0.4255,0.283,0.3106,109.0,33990.0,0.0529,0.8975,100,957,64
esm64,chain,val,rel_sasa_assembly,0.1157,0.1119,0.1299,109.0,33990.0,0.0529,0.8975,100,957,64
esm64,chain,val,protrusion,0.0757,0.0266,-0.0168,109.0,33990.0,0.0529,0.8975,100,957,64
esm64,union,val,score,0.4866,0.4183,0.3035,109.0,33990.0,0.1019,0.8975,100,957,64
esm64,union,val,rel_sasa_assembly,0.1716,0.1743,0.1696,109.0,33990.0,0.1019,0.8975,100,957,64
esm64,union,val,protrusion,0.1129,0.0284,0.0518,109.0,33990.0,0.1019,0.8975,100,957,64
esm64,chain,test_group2,score,0.372,0.3132,0.1923,234.0,68297.0,0.0516,0.8975,100,957,64
esm64,chain,test_group2,rel_sasa_assembly,0.1315,0.109,0.12,234.0,68297.0,0.0516,0.8975,100,957,64
esm64,chain,test_group2,protrusion,0.0938,0.035,-0.0116,234.0,68297.0,0.0516,0.8975,100,957,64
esm64,union,test_group2,score,0.384,0.341,0.3624,234.0,68297.0,0.06,0.8975,100,957,64
esm64,union,test_group2,rel_sasa_assembly,0.1459,0.1256,0.1276,234.0,68297.0,0.06,0.8975,100,957,64
esm64,union,test_group2,protrusion,0.1075,0.0421,-0.0041,234.0,68297.0,0.06,0.8975,100,957,64
esm64,chain,test_B,score,0.1534,0.1145,0.1158,38.0,10987.0,0.0695,0.8975,100,957,64
esm64,chain,test_B,rel_sasa_assembly,0.1461,0.1539,0.1325,38.0,10987.0,0.0695,0.8975,100,957,64
esm64,chain,test_B,protrusion,0.0947,0.0408,-0.0045,38.0,10987.0,0.0695,0.8975,100,957,64
esm64,union,test_B,score,0.1805,0.1197,0.0549,38.0,10987.0,0.1001,0.8975,100,957,64
esm64,union,test_B,rel_sasa_assembly,0.1826,0.1987,0.162,38.0,10987.0,0.1001,0.8975,100,957,64
esm64,union,test_B,protrusion,0.1224,0.0447,-0.0292,38.0,10987.0,0.1001,0.8975,100,957,64
esm256,chain,val,score,0.4174,0.283,0.3017,109.0,33990.0,0.0529,0.6831,292,816,256
esm256,chain,val,rel_sasa_assembly,0.1157,0.1119,0.1299,109.0,33990.0,0.0529,0.6831,292,816,256
esm256,chain,val,protrusion,0.0757,0.0266,-0.0168,109.0,33990.0,0.0529,0.6831,292,816,256
esm256,union,val,score,0.4832,0.422,0.3064,109.0,33990.0,0.1019,0.6831,292,816,256
esm256,union,val,rel_sasa_assembly,0.1716,0.1743,0.1696,109.0,33990.0,0.1019,0.6831,292,816,256
esm256,union,val,protrusion,0.1129,0.0284,0.0518,109.0,33990.0,0.1019,0.6831,292,816,256
esm256,chain,test_group2,score,0.3901,0.3199,0.3104,234.0,68297.0,0.0516,0.6831,292,816,256
esm256,chain,test_group2,rel_sasa_assembly,0.1315,0.109,0.12,234.0,68297.0,0.0516,0.6831,292,816,256
esm256,chain,test_group2,protrusion,0.0938,0.035,-0.0116,234.0,68297.0,0.0516,0.6831,292,816,256
esm256,union,test_group2,score,0.4001,0.3483,0.3562,234.0,68297.0,0.06,0.6831,292,816,256
